av,mnv,mv,uv,mvv,am,mm,mcm,llm,mvm,rcm,rc,cc,mcnc,mcc,aic,eic,cif,mif,mcif,aiif,eiif,eif,cs,ms,acs,ecs,mcs,ads,eds,mds,es,ai,ei,mi,compile,run,lookup,fix,fail,nav
10,5,17,27,5,2,2,16,3,1,2,2,5,2,10,17,3,5,2,5,23,2,2,1,0,3,0,6,0,0,0,0,97,13,7,3,3,7,11,7,19
10,3,18,27,5,1,2,17,4,2,0,1,4,2,11,18,2,5,2,6,25,3,1,1,0,2,1,6,0,1,0,1,102,11,8,7,1,3,8,9,11
8,3,16,25,5,1,5,11,4,2,3,1,3,3,8,16,0,5,1,7,22,3,0,1,1,1,2,4,0,0,0,2,102,13,6,2,8,4,10,2,26
8,6,15,24,5,3,2,19,4,0,1,3,5,0,9,20,3,6,1,3,19,2,1,1,0,1,2,7,0,1,0,2,92,14,5,7,5,10,16,11,24
11,4,16,25,3,3,5,17,6,1,3,0,5,0,8,20,2,3,2,2,19,3,3,1,0,2,0,6,1,0,0,2,89,11,7,6,6,3,11,7,28
11,4,14,28,4,1,5,14,0,1,4,0,6,3,9,18,3,5,2,4,26,1,3,2,1,3,1,4,1,1,0,1,99,12,8,0,0,9,14,10,12
13,6,14,23,6,1,1,16,6,2,4,1,3,2,10,19,4,4,2,6,20,3,0,0,0,3,0,4,0,0,1,0,95,14,7,4,0,11,15,2,18
13,5,16,30,5,0,3,11,3,2,3,2,3,3,9,15,2,3,1,6,20,3,0,1,1,3,0,4,1,0,0,1,92,14,7,5,3,9,15,8,18
11,3,14,23,6,1,4,15,0,2,1,2,7,2,8,15,4,5,1,7,19,1,0,0,1,4,0,5,0,0,0,2,96,13,5,5,8,9,13,5,22
7,6,17,26,4,0,3,13,5,0,0,0,6,3,10,17,1,6,1,5,21,3,1,1,0,1,1,5,1,1,1,1,103,11,8,1,0,8,7,11,27
11,6,15,23,5,0,1,14,3,0,0,1,7,3,8,15,2,3,1,3,23,3,2,1,1,3,1,4,0,0,1,2,90,14,7,6,1,4,9,8,13
11,3,14,29,3,4,2,11,0,1,4,2,3,0,9,20,4,4,2,2,25,2,0,2,0,3,0,6,0,1,0,1,102,12,5,2,3,11,4,11,28
13,5,14,27,5,0,1,12,6,0,3,2,7,0,8,19,3,3,1,6,19,1,1,0,0,3,2,4,1,1,1,0,89,14,7,1,1,5,12,10,20
9,3,17,24,6,4,4,11,5,1,3,3,5,1,10,16,2,6,2,3,25,1,1,1,0,4,2,5,0,0,1,2,101,11,5,6,1,3,17,10,13
12,4,16,24,5,2,5,11,0,1,2,1,3,2,11,19,3,5,2,3,22,3,0,1,0,3,1,7,0,1,1,0,105,13,7,1,6,10,8,0,13
13,4,18,31,5,0,5,12,6,1,0,3,5,1,8,15,4,4,2,6,20,3,0,0,1,4,1,6,0,0,1,0,89,13,8,3,3,8,9,13,20
7,3,14,25,3,2,1,17,5,0,1,0,7,0,8,15,4,6,2,5,22,1,0,1,1,3,0,7,0,0,1,1,96,14,6,7,0,8,16,5,23
13,3,18,26,4,2,4,13,5,1,2,1,6,2,9,20,1,3,1,4,26,3,1,0,1,2,0,8,1,0,1,0,90,11,7,2,8,8,13,11,10
8,3,17,25,4,3,5,16,1,2,3,1,7,1,8,15,4,5,2,4,19,1,0,2,1,4,1,7,0,1,0,1,89,14,8,3,4,4,16,7,19
9,3,17,23,5,3,0,12,5,1,1,0,7,2,8,18,2,3,2,4,24,1,1,2,1,4,1,4,0,1,0,1,91,14,8,4,0,2,14,8,24
11,5,17,23,4,1,3,15,3,1,1,3,6,0,9,18,1,4,1,4,23,2,3,0,0,1,0,5,0,0,0,2,89,12,5,1,8,8,5,1,28
9,6,18,29,4,1,2,13,4,1,2,2,2,1,11,20,2,3,2,6,19,1,1,2,1,3,1,8,0,1,1,2,94,11,6,2,1,10,4,10,19
7,6,18,31,3,1,1,12,3,0,3,0,6,2,11,14,3,4,1,6,23,0,0,1,0,1,1,7,0,0,1,2,90,13,8,7,7,3,14,6,27
9,5,18,26,3,4,1,12,6,1,1,1,4,3,9,18,4,6,2,5,24,0,2,0,0,3,1,7,1,0,1,2,89,11,7,7,6,11,17,5,18
10,5,16,24,3,3,4,19,5,1,4,2,6,1,8,14,4,3,1,6,21,0,1,0,0,4,2,7,1,0,0,1,100,11,6,5,3,8,5,2,10
10,6,15,28,6,0,3,15,5,1,4,2,5,3,9,16,3,6,2,6,25,0,3,2,1,1,1,7,1,0,0,0,93,11,6,6,2,6,11,0,26
9,6,16,26,6,0,3,12,5,1,0,2,3,2,8,16,4,6,1,3,26,0,0,1,0,1,1,6,0,0,0,2,95,13,6,1,5,4,13,4,24
9,4,17,29,3,3,0,15,0,1,3,2,2,0,11,18,1,5,2,6,19,3,0,2,1,2,2,6,1,1,0,0,100,14,7,1,1,11,10,12,14
8,6,18,31,3,3,4,16,5,1,0,2,6,0,8,20,4,3,1,6,23,2,2,1,1,4,0,4,1,1,0,0,96,12,8,6,1,7,15,7,23
10,3,14,29,4,2,2,13,6,2,2,3,5,3,11,16,0,3,2,5,21,0,0,0,1,1,0,8,1,0,0,1,105,13,8,2,0,7,5,11,19
13,4,14,30,6,1,0,16,2,2,2,0,4,3,11,18,4,5,2,4,25,2,1,2,0,3,0,5,1,1,1,1,97,12,7,7,0,3,12,5,13
8,1,13,24,3,3,1,24,6,2,2,2,3,2,11,17,2,5,2,3,19,3,1,2,1,5,0,7,1,0,0,0,91,7,7,11,7,3,7,3,15
5,2,14,24,1,2,1,21,9,0,0,0,3,0,11,14,3,4,2,4,17,2,1,1,1,6,1,8,0,1,1,2,85,6,8,9,8,1,11,2,10
5,1,11,21,3,2,2,20,6,2,1,3,2,3,10,18,3,6,1,5,16,4,1,3,0,4,0,9,0,1,1,1,93,5,5,9,10,5,6,2,11
10,1,14,20,3,1,2,25,6,3,0,3,2,1,10,17,2,5,2,3,18,4,1,2,1,6,0,6,0,0,1,1,92,5,8,7,1,6,9,5,22
